Dataset,Subset ID,Is Filtered,Number of Users,Number of Items,Number of Ratings,Space Size,Shape,Density,Rating per User,Rating per Item,Gini Item,Gini User,Average Popularity,Standart Deviation of Popularity Bias,Skewness of Popularity Bias,Kurtosis of Popularity Bias,Average Long Tail Items,Standart Deviation of Long Tail Items,Skewness of Long Tail Items,Kurtosis of Long Tail Items,Mean Rating,Standart Deviation of Rating,Skewness of Rating,Kurtosis of Rating,Sensitive Attribute == 0 Percentage,Sensitive Attribute == 1 Percentage,Difference between Sensitive Attribute Percentage
BX,35,Yes,3933,5081,82140,19983573,0.774,0.004,20.885,16.166,0.446,0.629,0.011,0.006,1.53,4.539,0.262,0.158,1.755,4.429,1.997,1.531,1.027,-0.705,39.28,60.72,21.44
BX,36,Yes,1932,5849,47302,11300268,0.33,0.004,24.483,8.087,0.475,0.625,0.013,0.007,2.156,9.441,0.257,0.155,1.762,4.599,1.986,1.528,1.046,-0.67,39.39,60.61,21.22
BX,37,Yes,5378,3391,76133,18236798,1.586,0.004,14.156,22.451,0.451,0.63,0.014,0.012,3.188,19.738,0.302,0.195,1.684,3.312,1.985,1.522,1.04,-0.677,38.64,61.36,22.72
BX,38,Yes,5755,2681,63788,15429155,2.147,0.004,11.084,23.793,0.431,0.631,0.01,0.007,2.086,8.279,0.328,0.218,1.601,2.485,1.998,1.531,1.022,-0.718,39.57,60.43,20.86
BX,39,Yes,4575,4113,79812,18816975,1.112,0.004,17.445,19.405,0.448,0.635,0.012,0.007,2.147,11.467,0.274,0.164,1.751,4.331,2.007,1.538,1.013,-0.739,39.3,60.7,21.4
BX,40,Yes,1762,2542,19087,4479004,0.693,0.004,10.833,7.509,0.455,0.635,0.011,0.009,3.342,21.607,0.323,0.219,1.662,2.676,2.077,1.557,0.9,-0.949,39.33,60.67,21.34
BX,41,Yes,4679,2496,52494,11678784,1.875,0.004,11.219,21.031,0.459,0.631,0.017,0.018,3.459,18.473,0.337,0.225,1.54,2.118,1.988,1.526,1.042,-0.672,39.15,60.85,21.7
BX,42,Yes,5114,2942,59989,15045388,1.738,0.004,11.73,20.391,0.434,0.623,0.011,0.008,2.236,8.086,0.315,0.209,1.689,2.957,2.006,1.536,1.011,-0.744,39.19,60.81,21.62
BX,43,Yes,322,1558,3722,501676,0.207,0.007,11.559,2.389,0.409,0.659,0.021,0.02,3.361,16.85,0.326,0.225,1.755,2.882,1.807,1.432,1.346,0.058,38.82,61.18,22.36
BX,44,Yes,403,3198,7164,1288794,0.126,0.006,17.777,2.24,0.392,0.583,0.012,0.006,1.708,5.119,0.267,0.157,1.482,3.076,2.02,1.553,1.002,-0.772,39.7,60.3,20.6
BX,45,Yes,5175,2793,58632,14453775,1.853,0.004,11.33,20.992,0.434,0.626,0.013,0.013,3.98,26.399,0.323,0.208,1.557,2.57,2.01,1.536,1.006,-0.75,39.57,60.43,20.86
BX,46,Yes,2624,4702,51518,12338048,0.558,0.004,19.633,10.957,0.435,0.641,0.013,0.01,4.654,44.347,0.28,0.173,1.736,4.01,2.0,1.527,1.014,-0.73,38.83,61.17,22.34
BX,47,Yes,542,3880,10555,2102960,0.14,0.005,19.474,2.72,0.432,0.596,0.012,0.005,1.029,2.591,0.267,0.158,1.564,3.439,2.023,1.542,0.991,-0.772,42.07,57.93,15.86
BX,48,Yes,2076,5115,41087,10618740,0.406,0.004,19.791,8.033,0.491,0.597,0.013,0.008,1.909,6.692,0.257,0.155,1.933,5.747,2.034,1.542,0.966,-0.826,39.16,60.84,21.68
BX,49,Yes,5390,3053,68273,16455670,1.765,0.004,12.667,22.363,0.439,0.631,0.011,0.006,1.687,5.133,0.301,0.196,1.764,3.55,2.026,1.548,0.984,-0.801,39.65,60.35,20.7
BX,50,Yes,3432,5534,76165,18992688,0.62,0.004,22.193,13.763,0.446,0.617,0.012,0.007,1.583,4.206,0.252,0.146,1.764,4.906,2.005,1.541,1.018,-0.732,38.58,61.42,22.84
BX,51,Yes,350,2431,6343,850850,0.144,0.007,18.123,2.609,0.418,0.672,0.018,0.011,2.24,8.303,0.28,0.161,1.914,5.427,1.932,1.496,1.135,-0.45,38.0,62.0,24.0
BX,52,Yes,1479,4918,30253,7273722,0.301,0.004,20.455,6.151,0.475,0.624,0.012,0.006,1.264,2.912,0.261,0.156,1.882,5.304,2.046,1.557,0.954,-0.861,38.47,61.53,23.06
BX,53,Yes,4551,3427,65607,15596277,1.328,0.004,14.416,19.144,0.466,0.624,0.012,0.008,1.673,5.161,0.293,0.189,1.789,3.849,2.02,1.544,0.992,-0.782,39.05,60.95,21.9
BX,54,Yes,5812,4847,113002,28170764,1.199,0.004,19.443,23.314,0.438,0.626,0.011,0.006,1.544,4.555,0.264,0.158,1.835,4.922,2.007,1.538,1.01,-0.747,39.14,60.86,21.72
BX,55,Yes,5730,2987,73123,17115510,1.918,0.004,12.761,24.48,0.447,0.628,0.015,0.014,3.974,26.198,0.317,0.203,1.609,2.792,1.997,1.532,1.027,-0.707,39.35,60.65,21.3
BX,56,Yes,1589,4295,27329,6824755,0.37,0.004,17.199,6.363,0.476,0.627,0.011,0.006,1.477,4.534,0.275,0.17,1.676,3.825,2.017,1.536,0.993,-0.771,39.58,60.42,20.84
BX,57,Yes,1109,2314,11600,2566226,0.479,0.005,10.46,5.013,0.487,0.61,0.016,0.015,2.971,14.892,0.323,0.203,1.572,2.711,1.988,1.52,1.034,-0.685,39.31,60.69,21.38
BX,58,Yes,3368,2889,39214,9730152,1.166,0.004,11.643,13.574,0.444,0.625,0.011,0.008,2.328,9.204,0.318,0.211,1.679,2.976,2.005,1.535,1.012,-0.738,38.95,61.05,22.1
BX,59,Yes,3904,5600,91228,21862400,0.697,0.004,23.368,16.291,0.449,0.635,0.013,0.008,1.476,3.167,0.255,0.148,1.83,5.163,1.947,1.505,1.104,-0.535,39.22,60.78,21.56
BX,60,Yes,1245,2708,14646,3371460,0.46,0.004,11.764,5.408,0.458,0.633,0.011,0.008,2.348,9.137,0.326,0.216,1.523,2.296,1.96,1.522,1.084,-0.6,39.04,60.96,21.92
BX,61,Yes,4198,4256,75916,17866688,0.986,0.004,18.084,17.837,0.449,0.634,0.014,0.01,2.567,10.771,0.276,0.168,1.718,4.163,1.987,1.527,1.041,-0.678,39.49,60.51,21.02
BX,62,Yes,4726,5824,116098,27524224,0.811,0.004,24.566,19.934,0.449,0.629,0.013,0.008,2.315,10.902,0.255,0.15,1.634,3.942,2.0,1.533,1.02,-0.724,39.48,60.52,21.04
BX,63,Yes,1696,5797,40816,9831712,0.293,0.004,24.066,7.041,0.475,0.627,0.011,0.006,1.418,5.522,0.25,0.136,1.42,3.565,1.94,1.508,1.116,-0.518,40.74,59.26,18.52
BX,64,Yes,950,4907,20157,4661650,0.194,0.004,21.218,4.108,0.473,0.62,0.012,0.006,1.573,4.869,0.256,0.158,1.867,5.04,1.946,1.503,1.101,-0.543,40.84,59.16,18.32
BX,65,Yes,2525,5723,58949,14450575,0.441,0.004,23.346,10.3,0.468,0.625,0.012,0.007,1.415,3.383,0.252,0.148,1.731,4.653,2.053,1.55,0.935,-0.887,39.05,60.95,21.9
BX,66,Yes,4901,4923,98608,24127623,0.996,0.004,20.12,20.03,0.44,0.627,0.011,0.006,1.28,2.938,0.263,0.16,1.771,4.471,1.98,1.525,1.051,-0.659,39.4,60.6,21.2
BX,67,Yes,3295,2325,33156,7660875,1.417,0.004,10.063,14.261,0.463,0.628,0.017,0.019,4.287,25.388,0.353,0.237,1.368,1.438,2.019,1.538,0.989,-0.783,38.15,61.85,23.7
BX,68,Yes,4314,4307,73920,18580398,1.002,0.004,17.135,17.163,0.454,0.617,0.011,0.006,1.636,5.223,0.274,0.167,1.732,4.217,2.011,1.536,1.005,-0.751,39.59,60.41,20.82
BX,69,Yes,1888,5094,39831,9617472,0.371,0.004,21.097,7.819,0.452,0.649,0.011,0.006,1.792,7.808,0.26,0.152,1.753,4.79,2.044,1.556,0.955,-0.861,38.67,61.33,22.66
BX,70,Yes,3397,4028,56668,13683116,0.843,0.004,16.682,14.069,0.47,0.616,0.015,0.012,3.498,24.245,0.275,0.165,1.743,4.244,2.001,1.532,1.018,-0.725,39.33,60.67,21.34
BX,71,Yes,2280,5398,51142,12307440,0.422,0.004,22.431,9.474,0.479,0.616,0.013,0.007,1.21,2.103,0.251,0.149,1.795,5.11,2.051,1.554,0.945,-0.869,39.74,60.26,20.52
BX,72,Yes,5685,5381,122955,30590985,1.056,0.004,21.628,22.85,0.439,0.624,0.012,0.007,2.154,13.516,0.261,0.155,1.688,4.143,2.012,1.542,1.005,-0.757,39.38,60.62,21.24
BX,73,Yes,4048,3713,60105,15030224,1.09,0.004,14.848,16.188,0.447,0.623,0.013,0.011,3.305,21.758,0.296,0.187,1.678,3.471,2.004,1.528,1.01,-0.738,39.55,60.45,20.9
BX,74,Yes,5199,3882,83617,20182518,1.339,0.004,16.083,21.54,0.45,0.626,0.013,0.01,3.437,25.349,0.282,0.172,1.778,4.188,1.988,1.528,1.039,-0.685,38.72,61.28,22.56
BX,75,Yes,180,1386,2224,249480,0.13,0.009,12.356,1.605,0.295,0.624,0.016,0.009,3.075,16.496,0.295,0.182,1.672,3.791,2.109,1.585,0.857,-1.054,33.89,66.11,32.22
BX,76,Yes,4048,4711,80178,19070128,0.859,0.004,19.807,17.019,0.455,0.628,0.012,0.007,1.678,5.062,0.267,0.162,1.67,3.794,2.033,1.552,0.975,-0.821,39.65,60.35,20.7
BX,77,Yes,5385,3592,80416,19342920,1.499,0.004,14.933,22.388,0.441,0.634,0.012,0.009,2.855,17.915,0.293,0.188,1.756,3.723,1.995,1.529,1.028,-0.704,39.2,60.8,21.6
BX,78,Yes,2312,5075,49221,11733400,0.456,0.004,21.289,9.699,0.47,0.62,0.015,0.01,3.394,27.342,0.265,0.163,1.683,3.729,2.017,1.548,1.003,-0.764,38.41,61.59,23.18
BX,79,Yes,316,2869,6334,906604,0.11,0.007,20.044,2.208,0.381,0.641,0.014,0.006,0.871,1.222,0.264,0.138,1.453,3.743,1.924,1.504,1.141,-0.472,37.97,62.03,24.06
BX,80,Yes,389,2756,6716,1072084,0.141,0.006,17.265,2.437,0.403,0.641,0.014,0.007,2.316,11.778,0.284,0.189,1.732,3.726,1.983,1.531,1.043,-0.693,40.36,59.64,19.28
BX,81,Yes,3761,4478,66646,16841758,0.84,0.004,17.72,14.883,0.445,0.624,0.012,0.009,2.434,9.649,0.277,0.168,1.629,3.746,2.0,1.532,1.021,-0.718,38.98,61.02,22.04
BX,82,Yes,4314,5829,102553,25146306,0.74,0.004,23.772,17.594,0.452,0.618,0.013,0.009,2.82,22.944,0.251,0.145,1.64,4.127,1.998,1.531,1.024,-0.714,40.15,59.85,19.7
BX,83,Yes,461,2784,7168,1283424,0.166,0.006,15.549,2.575,0.428,0.619,0.015,0.01,3.12,17.193,0.278,0.177,1.819,4.684,1.999,1.529,1.017,-0.726,41.21,58.79,17.58
BX,84,Yes,1006,4422,20441,4448532,0.227,0.005,20.319,4.623,0.468,0.638,0.012,0.006,1.263,2.247,0.275,0.172,1.635,3.542,1.947,1.511,1.105,-0.543,38.77,61.23,22.46
BX,85,Yes,287,2104,4099,603848,0.136,0.007,14.282,1.948,0.366,0.626,0.014,0.007,1.548,4.038,0.288,0.203,1.84,3.63,2.005,1.54,1.012,-0.749,35.54,64.46,28.92
BX,86,Yes,4731,3028,58908,14325468,1.562,0.004,12.451,19.454,0.446,0.632,0.012,0.008,2.585,14.105,0.311,0.204,1.661,2.975,2.014,1.537,0.997,-0.77,39.55,60.45,20.9
BX,87,Yes,1577,2669,18680,4209013,0.591,0.004,11.845,6.999,0.455,0.639,0.011,0.008,2.509,11.804,0.312,0.206,1.621,2.82,2.026,1.542,0.976,-0.813,40.2,59.8,19.6
BX,88,Yes,4630,4618,86820,21381340,1.003,0.004,18.752,18.8,0.443,0.634,0.011,0.006,1.649,6.161,0.268,0.159,1.717,4.341,2.007,1.536,1.01,-0.745,39.11,60.89,21.78
BX,89,Yes,1739,4111,30397,7149029,0.423,0.004,17.48,7.394,0.487,0.63,0.013,0.008,1.443,3.886,0.275,0.175,1.902,4.824,2.037,1.559,0.973,-0.83,38.53,61.47,22.94
BX,90,Yes,4530,2857,53024,12942210,1.586,0.004,11.705,18.559,0.442,0.632,0.011,0.007,1.705,5.105,0.326,0.219,1.598,2.433,2.013,1.538,0.997,-0.774,39.98,60.02,20.04
BX,91,Yes,4957,4927,98524,24423139,1.006,0.004,19.876,19.997,0.437,0.625,0.012,0.009,3.486,26.705,0.271,0.162,1.746,4.29,2.001,1.532,1.017,-0.728,39.14,60.86,21.72
BX,92,Yes,5472,3933,89696,21521376,1.391,0.004,16.392,22.806,0.443,0.63,0.012,0.007,1.716,5.461,0.283,0.176,1.754,4.072,2.016,1.54,0.997,-0.771,39.86,60.14,20.28
BX,93,Yes,1425,4908,31250,6993900,0.29,0.004,21.93,6.367,0.472,0.629,0.014,0.009,2.272,9.871,0.257,0.152,1.757,4.518,2.003,1.534,1.015,-0.735,38.74,61.26,22.52
BX,94,Yes,264,3062,6045,808368,0.086,0.007,22.898,1.974,0.359,0.619,0.014,0.006,1.098,2.307,0.245,0.138,1.727,5.108,1.87,1.452,1.211,-0.276,38.26,61.74,23.48
BX,95,Yes,3184,4541,59058,14458544,0.701,0.004,18.548,13.006,0.437,0.63,0.011,0.007,2.511,15.405,0.27,0.167,1.78,4.358,2.01,1.53,1.0,-0.754,39.32,60.68,21.36
BX,96,Yes,1450,3057,18537,4432650,0.474,0.004,12.784,6.064,0.486,0.625,0.012,0.008,1.89,6.263,0.311,0.199,1.697,3.262,1.983,1.523,1.046,-0.664,39.66,60.34,20.68
BX,97,Yes,215,1485,2769,319275,0.145,0.009,12.879,1.865,0.349,0.624,0.021,0.017,3.959,23.347,0.322,0.217,1.726,2.957,1.861,1.488,1.266,-0.191,40.93,59.07,18.14
BX,98,Yes,4607,3081,57278,14194167,1.495,0.004,12.433,18.591,0.44,0.628,0.01,0.007,1.966,6.747,0.308,0.198,1.646,3.079,2.03,1.547,0.975,-0.817,39.53,60.47,20.94
BX,99,Yes,1057,3450,15808,3646650,0.306,0.004,14.956,4.582,0.465,0.639,0.012,0.007,1.648,5.97,0.289,0.184,1.832,4.304,1.979,1.527,1.055,-0.655,39.92,60.08,20.16
BX,100,Yes,2875,4135,48463,11888125,0.695,0.004,16.857,11.72,0.463,0.629,0.012,0.008,2.858,20.201,0.284,0.179,1.748,3.939,1.991,1.53,1.037,-0.687,39.1,60.9,21.8
