Dataset,Subset ID,Is Filtered,Number of Users,Number of Items,Number of Ratings,Space Size,Shape,Density,Rating per User,Rating per Item,Gini Item,Gini User,Average Popularity,Standart Deviation of Popularity Bias,Skewness of Popularity Bias,Kurtosis of Popularity Bias,Average Long Tail Items,Standart Deviation of Long Tail Items,Skewness of Long Tail Items,Kurtosis of Long Tail Items,Mean Rating,Standart Deviation of Rating,Skewness of Rating,Kurtosis of Rating,Sensitive Attribute == 0 Percentage,Sensitive Attribute == 1 Percentage,Difference between Sensitive Attribute Percentage
ml1m,17,Yes,1956,1105,69459,2161380,1.77,0.032,35.511,62.859,0.65,0.535,0.131,0.049,0.485,1.873,0.24,0.146,1.856,4.626,3.601,1.12,-0.574,-0.342,71.93,28.07,43.86
ml1m,18,Yes,483,1040,16384,502320,0.464,0.033,33.921,15.754,0.613,0.522,0.117,0.046,0.113,-0.135,0.236,0.154,2.081,5.599,3.551,1.147,-0.556,-0.407,69.57,30.43,39.14
ml1m,19,Yes,877,1217,34344,1067309,0.721,0.032,39.161,28.22,0.627,0.545,0.124,0.05,0.355,0.463,0.241,0.157,1.975,5.065,3.585,1.108,-0.543,-0.343,68.87,31.13,37.74
ml1m,20,Yes,1239,318,12910,394002,3.896,0.033,10.42,40.597,0.636,0.521,0.16,0.097,0.896,1.443,0.314,0.226,1.735,2.696,3.633,1.116,-0.606,-0.287,71.11,28.89,42.22
ml1m,21,Yes,1464,610,27910,893040,2.4,0.031,19.064,45.754,0.643,0.549,0.129,0.067,0.772,1.807,0.274,0.18,1.815,3.975,3.561,1.129,-0.546,-0.38,71.93,28.07,43.86
ml1m,22,Yes,607,755,15632,458285,0.804,0.034,25.753,20.705,0.623,0.535,0.124,0.054,0.519,1.102,0.253,0.17,1.8,3.95,3.615,1.107,-0.587,-0.293,71.83,28.17,43.66
ml1m,23,Yes,515,1444,26890,743660,0.357,0.036,52.214,18.622,0.627,0.53,0.13,0.046,0.601,1.823,0.229,0.142,2.177,6.72,3.58,1.107,-0.564,-0.304,73.2,26.8,46.4
ml1m,24,Yes,685,1640,39681,1123400,0.418,0.035,57.928,24.196,0.626,0.527,0.129,0.044,0.386,0.328,0.233,0.133,1.924,5.663,3.576,1.099,-0.548,-0.302,69.34,30.66,38.68
ml1m,25,Yes,1133,379,14536,429407,2.989,0.034,12.83,38.354,0.628,0.519,0.119,0.065,0.762,1.864,0.282,0.2,2.139,4.916,3.606,1.136,-0.593,-0.355,71.76,28.24,43.52
ml1m,26,Yes,1368,1544,76615,2112192,0.886,0.036,56.005,49.621,0.639,0.527,0.143,0.05,0.16,-0.011,0.229,0.137,2.183,6.995,3.621,1.117,-0.593,-0.298,72.66,27.34,45.32
ml1m,27,Yes,144,719,5285,103536,0.2,0.051,36.701,7.35,0.555,0.51,0.161,0.07,0.678,1.434,0.235,0.161,2.672,8.701,3.533,1.16,-0.534,-0.458,68.75,31.25,37.5
ml1m,28,Yes,1980,1484,102368,2938320,1.334,0.035,51.701,68.981,0.622,0.532,0.125,0.043,0.401,0.529,0.228,0.134,2.118,6.728,3.539,1.137,-0.525,-0.431,70.71,29.29,41.42
ml1m,29,Yes,785,840,21832,659400,0.935,0.033,27.811,25.99,0.628,0.529,0.121,0.054,0.452,0.876,0.243,0.145,2.152,6.753,3.601,1.085,-0.557,-0.269,69.04,30.96,38.08
ml1m,30,Yes,1727,1550,99327,2676850,1.114,0.037,57.514,64.082,0.63,0.536,0.135,0.046,0.192,-0.03,0.223,0.137,2.337,7.751,3.591,1.125,-0.567,-0.353,70.35,29.65,40.7
ml1m,31,Yes,1522,523,23819,796006,2.91,0.03,15.65,45.543,0.653,0.513,0.135,0.074,0.689,0.849,0.258,0.169,2.154,5.972,3.586,1.104,-0.565,-0.305,73.85,26.15,47.7
ml1m,32,Yes,1821,1341,86493,2441961,1.358,0.035,47.498,64.499,0.637,0.529,0.131,0.046,0.221,0.29,0.224,0.136,2.423,8.479,3.603,1.097,-0.549,-0.315,72.76,27.24,45.52
ml1m,33,Yes,581,867,16429,503727,0.67,0.033,28.277,18.949,0.611,0.498,0.114,0.048,0.102,-0.152,0.247,0.15,1.805,4.067,3.534,1.128,-0.51,-0.434,74.18,25.82,48.36
ml1m,34,Yes,750,1644,43117,1233000,0.456,0.035,57.489,26.227,0.614,0.56,0.128,0.047,0.385,0.621,0.235,0.148,2.227,6.507,3.542,1.097,-0.509,-0.34,70.67,29.33,41.34
ml1m,35,Yes,516,1416,24133,730656,0.364,0.033,46.769,17.043,0.623,0.505,0.13,0.047,0.611,0.584,0.232,0.144,2.025,6.499,3.626,1.091,-0.541,-0.325,70.74,29.26,41.48
ml1m,36,Yes,1463,1118,57610,1635634,1.309,0.035,39.378,51.53,0.643,0.53,0.133,0.049,0.258,0.35,0.231,0.139,2.062,6.161,3.598,1.097,-0.554,-0.319,71.22,28.78,42.44
ml1m,37,Yes,612,1460,29407,893520,0.419,0.033,48.051,20.142,0.627,0.52,0.121,0.044,0.28,-0.031,0.227,0.138,2.141,6.643,3.616,1.128,-0.582,-0.366,70.75,29.25,41.5
ml1m,38,Yes,578,1624,37993,938672,0.356,0.04,65.732,23.395,0.619,0.526,0.142,0.046,0.206,-0.132,0.222,0.127,1.966,5.589,3.625,1.104,-0.591,-0.276,74.05,25.95,48.1
ml1m,39,Yes,1448,715,37078,1035320,2.025,0.036,25.606,51.857,0.619,0.533,0.122,0.049,0.598,2.259,0.245,0.154,2.154,6.305,3.584,1.099,-0.539,-0.316,72.38,27.62,44.76
ml1m,40,Yes,1355,1528,74382,2070440,0.887,0.036,54.894,48.679,0.623,0.524,0.131,0.048,0.154,0.036,0.232,0.14,2.046,6.076,3.619,1.107,-0.588,-0.286,72.18,27.82,44.36
ml1m,41,Yes,385,1318,20341,507430,0.292,0.04,52.834,15.433,0.602,0.539,0.123,0.039,-0.075,0.101,0.225,0.138,2.272,7.455,3.499,1.112,-0.482,-0.416,74.29,25.71,48.58
ml1m,42,Yes,1811,707,40254,1280377,2.562,0.031,22.227,56.936,0.635,0.537,0.128,0.062,0.882,2.219,0.256,0.171,1.941,4.55,3.527,1.122,-0.517,-0.396,70.96,29.04,41.92
ml1m,43,Yes,517,411,6241,212487,1.258,0.029,12.072,15.185,0.599,0.52,0.108,0.056,0.669,0.636,0.305,0.215,1.74,2.948,3.606,1.149,-0.59,-0.382,73.5,26.5,47.0
ml1m,44,Yes,448,1083,17781,485184,0.414,0.037,39.69,16.418,0.603,0.566,0.123,0.049,0.194,0.516,0.244,0.154,2.233,6.684,3.559,1.117,-0.505,-0.424,70.98,29.02,41.96
ml1m,45,Yes,1039,1605,57588,1667595,0.647,0.035,55.426,35.88,0.617,0.535,0.121,0.043,0.415,0.379,0.227,0.141,2.214,6.425,3.55,1.102,-0.509,-0.368,71.51,28.49,43.02
ml1m,46,Yes,713,579,12487,412827,1.231,0.03,17.513,21.566,0.61,0.534,0.108,0.051,0.417,0.328,0.268,0.177,2.124,5.444,3.556,1.118,-0.515,-0.408,72.09,27.91,44.18
ml1m,47,Yes,1123,562,21459,631126,1.998,0.034,19.109,38.183,0.646,0.515,0.146,0.072,0.924,2.607,0.274,0.19,1.807,3.769,3.58,1.125,-0.561,-0.355,74.62,25.38,49.24
ml1m,48,Yes,762,890,21865,678180,0.856,0.032,28.694,24.567,0.617,0.549,0.108,0.041,0.427,1.757,0.253,0.169,2.02,4.967,3.531,1.109,-0.508,-0.372,71.0,29.0,42.0
ml1m,49,Yes,999,1501,51450,1499499,0.666,0.034,51.502,34.277,0.639,0.525,0.131,0.046,0.473,0.962,0.237,0.156,2.221,6.004,3.621,1.097,-0.572,-0.29,71.87,28.13,43.74
ml1m,50,Yes,294,947,11878,278418,0.31,0.043,40.401,12.543,0.597,0.534,0.144,0.052,-0.054,-0.201,0.235,0.127,1.894,5.735,3.666,1.093,-0.587,-0.308,76.19,23.81,52.38
ml1m,51,Yes,372,611,7538,227292,0.609,0.033,20.263,12.337,0.577,0.519,0.102,0.042,-0.048,-0.039,0.254,0.168,2.296,7.06,3.611,1.103,-0.564,-0.338,68.28,31.72,36.56
ml1m,52,Yes,277,489,5417,135453,0.566,0.04,19.556,11.078,0.605,0.517,0.15,0.072,0.264,0.196,0.261,0.174,2.233,6.402,3.572,1.111,-0.575,-0.309,72.2,27.8,44.4
ml1m,53,Yes,1654,1183,64227,1956682,1.398,0.033,38.831,54.292,0.652,0.512,0.15,0.058,0.51,0.642,0.22,0.122,2.298,9.204,3.628,1.095,-0.573,-0.285,71.7,28.3,43.4
ml1m,54,Yes,1681,606,30720,1018686,2.774,0.03,18.275,50.693,0.633,0.555,0.105,0.047,0.374,1.136,0.274,0.189,1.917,4.159,3.54,1.1,-0.504,-0.377,71.8,28.2,43.6
ml1m,55,Yes,1653,1346,72231,2224938,1.228,0.032,43.697,53.663,0.634,0.528,0.133,0.05,0.431,0.51,0.228,0.135,2.017,5.999,3.559,1.128,-0.533,-0.398,72.6,27.4,45.2
ml1m,56,Yes,1543,1613,87044,2488859,0.957,0.035,56.412,53.964,0.621,0.528,0.129,0.047,0.372,0.396,0.225,0.132,2.288,7.583,3.586,1.121,-0.562,-0.348,71.29,28.71,42.58
ml1m,57,Yes,1891,1633,105012,3088003,1.158,0.034,55.533,64.306,0.624,0.544,0.12,0.04,0.281,0.274,0.234,0.141,1.933,5.185,3.587,1.113,-0.544,-0.352,71.07,28.93,42.14
ml1m,58,Yes,1241,1183,51888,1468103,1.049,0.035,41.811,43.861,0.642,0.536,0.129,0.045,0.189,0.372,0.239,0.151,2.238,6.764,3.552,1.13,-0.554,-0.368,71.96,28.04,43.92
ml1m,59,Yes,1114,578,19954,643892,1.927,0.031,17.912,34.522,0.653,0.53,0.131,0.062,0.563,1.438,0.279,0.183,1.767,3.848,3.56,1.114,-0.52,-0.394,72.17,27.83,44.34
ml1m,60,Yes,131,1172,7762,153532,0.112,0.051,59.252,6.623,0.566,0.501,0.148,0.048,0.28,0.315,0.224,0.141,2.63,9.51,3.609,1.137,-0.588,-0.354,67.94,32.06,35.88
ml1m,61,Yes,1557,640,33777,996480,2.433,0.034,21.694,52.777,0.626,0.533,0.116,0.049,0.339,1.415,0.264,0.176,2.024,5.011,3.582,1.117,-0.553,-0.35,71.61,28.39,43.22
ml1m,62,Yes,1613,1458,80451,2351754,1.106,0.034,49.877,55.179,0.64,0.529,0.137,0.048,0.204,-0.089,0.226,0.137,2.438,8.921,3.63,1.105,-0.582,-0.304,71.85,28.15,43.7
ml1m,63,Yes,1532,578,25911,885496,2.651,0.029,16.913,44.829,0.649,0.515,0.135,0.071,0.679,1.521,0.263,0.179,2.064,5.091,3.618,1.105,-0.557,-0.327,68.93,31.07,37.86
ml1m,64,Yes,1221,1211,50734,1478631,1.008,0.034,41.551,41.894,0.631,0.533,0.139,0.059,0.438,0.412,0.231,0.144,2.166,6.648,3.596,1.116,-0.55,-0.363,70.35,29.65,40.7
ml1m,65,Yes,1237,1600,72340,1979200,0.773,0.037,58.48,45.212,0.643,0.507,0.144,0.046,0.285,0.069,0.232,0.144,2.209,6.675,3.586,1.114,-0.57,-0.318,72.68,27.32,45.36
ml1m,66,Yes,1587,678,35326,1075986,2.341,0.033,22.26,52.103,0.647,0.538,0.12,0.052,0.131,0.514,0.265,0.181,2.025,4.742,3.557,1.131,-0.522,-0.418,71.83,28.17,43.66
ml1m,67,Yes,1313,1475,69158,1936675,0.89,0.036,52.672,46.887,0.647,0.508,0.144,0.05,0.305,0.362,0.227,0.129,1.953,5.827,3.655,1.102,-0.633,-0.215,70.91,29.09,41.82
ml1m,68,Yes,638,1422,30726,907236,0.449,0.034,48.16,21.608,0.621,0.528,0.132,0.052,0.508,0.362,0.223,0.14,2.522,8.695,3.599,1.13,-0.596,-0.317,72.26,27.74,44.52
ml1m,69,Yes,804,824,22004,662496,0.976,0.033,27.368,26.704,0.605,0.538,0.124,0.055,0.465,0.744,0.256,0.173,2.081,5.317,3.585,1.1,-0.53,-0.358,71.64,28.36,43.28
ml1m,70,Yes,1181,838,33056,989678,1.409,0.033,27.99,39.446,0.642,0.534,0.131,0.062,0.532,1.069,0.239,0.152,2.504,8.432,3.616,1.095,-0.587,-0.253,71.55,28.45,43.1
ml1m,71,Yes,1109,301,11243,333809,3.684,0.034,10.138,37.352,0.669,0.501,0.134,0.064,0.366,0.738,0.317,0.224,1.642,2.429,3.566,1.11,-0.553,-0.328,73.94,26.06,47.88
ml1m,72,Yes,1027,1594,55581,1637038,0.644,0.034,54.12,34.869,0.631,0.52,0.128,0.047,0.377,0.405,0.223,0.134,2.24,7.084,3.606,1.115,-0.574,-0.33,72.35,27.65,44.7
ml1m,73,Yes,1647,1320,78592,2174040,1.248,0.036,47.718,59.539,0.638,0.532,0.134,0.051,0.295,0.323,0.229,0.127,2.152,7.184,3.601,1.107,-0.557,-0.327,72.86,27.14,45.72
ml1m,74,Yes,955,970,30767,926350,0.985,0.033,32.217,31.719,0.634,0.538,0.141,0.059,0.664,1.101,0.236,0.143,1.949,5.4,3.568,1.142,-0.561,-0.392,73.19,26.81,46.38
ml1m,75,Yes,277,405,4240,112185,0.684,0.038,15.307,10.469,0.576,0.51,0.126,0.066,0.898,1.341,0.291,0.209,1.629,2.399,3.516,1.117,-0.525,-0.366,77.98,22.02,55.96
ml1m,76,Yes,587,1293,24804,758991,0.454,0.033,42.256,19.183,0.637,0.532,0.129,0.047,0.422,0.591,0.23,0.136,2.273,7.82,3.582,1.117,-0.552,-0.359,69.51,30.49,39.02
ml1m,77,Yes,864,921,26773,795744,0.938,0.034,30.987,29.069,0.626,0.537,0.131,0.052,0.605,1.053,0.253,0.162,1.786,4.115,3.587,1.116,-0.538,-0.382,73.26,26.74,46.52
ml1m,78,Yes,1130,1080,43005,1220400,1.046,0.035,38.058,39.819,0.637,0.534,0.14,0.053,0.237,0.22,0.242,0.144,2.17,6.785,3.525,1.138,-0.512,-0.459,71.86,28.14,43.72
ml1m,79,Yes,701,724,17393,507524,0.968,0.034,24.812,24.023,0.615,0.546,0.117,0.047,0.366,0.736,0.258,0.182,2.226,5.733,3.537,1.144,-0.521,-0.461,69.76,30.24,39.52
ml1m,80,Yes,259,459,4962,118881,0.564,0.042,19.158,10.81,0.608,0.53,0.144,0.072,0.642,1.615,0.261,0.196,1.947,4.068,3.552,1.096,-0.477,-0.403,75.29,24.71,50.58
ml1m,81,Yes,507,1478,26947,749346,0.343,0.036,53.15,18.232,0.606,0.538,0.119,0.04,0.337,0.539,0.231,0.142,2.281,7.534,3.575,1.119,-0.555,-0.348,71.4,28.6,42.8
ml1m,82,Yes,814,350,8879,284900,2.326,0.031,10.908,25.369,0.634,0.516,0.133,0.075,0.799,1.236,0.3,0.214,1.827,3.291,3.606,1.104,-0.558,-0.33,71.25,28.75,42.5
ml1m,83,Yes,158,983,7970,155314,0.161,0.051,50.443,8.108,0.565,0.529,0.15,0.051,-0.021,-0.553,0.221,0.123,2.495,11.395,3.561,1.154,-0.563,-0.427,69.62,30.38,39.24
ml1m,84,Yes,758,1599,45690,1212042,0.474,0.038,60.277,28.574,0.635,0.524,0.141,0.049,0.192,0.163,0.228,0.137,2.256,7.491,3.599,1.113,-0.555,-0.348,71.9,28.1,43.8
ml1m,85,Yes,319,902,11665,287738,0.354,0.041,36.567,12.932,0.596,0.557,0.128,0.052,0.651,2.497,0.231,0.166,2.749,9.735,3.552,1.107,-0.499,-0.396,69.91,30.09,39.82
ml1m,86,Yes,1388,1627,85794,2258276,0.853,0.038,61.811,52.731,0.625,0.533,0.138,0.046,0.323,0.337,0.219,0.128,2.266,8.054,3.557,1.111,-0.532,-0.359,70.97,29.03,41.94
ml1m,87,Yes,956,855,26188,817380,1.118,0.032,27.393,30.629,0.614,0.542,0.126,0.059,0.642,1.431,0.257,0.164,2.005,5.192,3.509,1.122,-0.497,-0.413,71.13,28.87,42.26
ml1m,88,Yes,316,579,6198,182964,0.546,0.034,19.614,10.705,0.587,0.534,0.122,0.059,1.296,3.782,0.26,0.174,2.339,6.718,3.584,1.116,-0.555,-0.346,72.15,27.85,44.3
ml1m,89,Yes,1917,951,62160,1823067,2.016,0.034,32.426,65.363,0.611,0.538,0.126,0.053,0.369,0.594,0.241,0.144,2.205,6.964,3.56,1.12,-0.531,-0.386,70.74,29.26,41.48
ml1m,90,Yes,564,1480,30458,834720,0.381,0.036,54.004,20.58,0.624,0.556,0.133,0.048,0.124,-0.437,0.226,0.129,1.984,6.597,3.583,1.123,-0.568,-0.353,71.45,28.55,42.9
ml1m,91,Yes,1206,912,33957,1099872,1.322,0.031,28.157,37.234,0.612,0.547,0.104,0.042,0.069,0.072,0.263,0.185,2.033,4.767,3.583,1.121,-0.558,-0.358,71.56,28.44,43.12
ml1m,92,Yes,370,924,11515,341880,0.4,0.034,31.122,12.462,0.605,0.521,0.126,0.057,0.283,-0.034,0.235,0.139,1.921,5.499,3.559,1.147,-0.553,-0.424,68.38,31.62,36.76
ml1m,93,Yes,874,497,14842,434378,1.759,0.034,16.982,29.863,0.637,0.537,0.123,0.055,-0.223,-0.221,0.277,0.194,1.983,4.521,3.598,1.11,-0.583,-0.286,71.85,28.15,43.7
ml1m,94,Yes,1253,1254,55610,1571262,0.999,0.035,44.381,44.346,0.639,0.539,0.132,0.054,0.3,0.822,0.233,0.145,2.312,7.307,3.542,1.119,-0.509,-0.407,72.23,27.77,44.46
ml1m,95,Yes,1517,1440,78107,2184480,1.053,0.036,51.488,54.241,0.62,0.545,0.121,0.04,0.428,0.605,0.234,0.139,1.879,5.196,3.544,1.126,-0.536,-0.384,73.1,26.9,46.2
ml1m,96,Yes,1402,1520,80856,2131040,0.922,0.038,57.672,53.195,0.627,0.515,0.151,0.053,0.205,-0.062,0.21,0.117,2.154,8.497,3.622,1.11,-0.587,-0.295,73.11,26.89,46.22
ml1m,97,Yes,980,1032,34795,1011360,0.95,0.034,35.505,33.716,0.615,0.551,0.129,0.054,0.658,1.508,0.25,0.159,2.3,6.885,3.587,1.105,-0.54,-0.349,72.35,27.65,44.7
ml1m,98,Yes,1434,1573,81776,2255682,0.912,0.036,57.026,51.987,0.628,0.528,0.134,0.049,0.359,0.394,0.221,0.135,2.348,8.022,3.552,1.135,-0.53,-0.414,71.2,28.8,42.4
ml1m,99,Yes,549,668,12683,366732,0.822,0.035,23.102,18.987,0.609,0.537,0.129,0.054,0.321,0.283,0.252,0.16,1.939,5.022,3.627,1.107,-0.575,-0.335,69.76,30.24,39.52
ml1m,100,Yes,1738,1345,80094,2337610,1.292,0.034,46.084,59.549,0.618,0.551,0.123,0.047,0.571,1.048,0.235,0.137,1.923,4.917,3.54,1.124,-0.536,-0.376,71.52,28.48,43.04
