Dataset,Subset ID,Is Filtered,Number of Users,Number of Items,Number of Ratings,Space Size,Shape,Density,Rating per User,Rating per Item,Gini Item,Gini User,Average Popularity,Standart Deviation of Popularity Bias,Skewness of Popularity Bias,Kurtosis of Popularity Bias,Average Long Tail Items,Standart Deviation of Long Tail Items,Skewness of Long Tail Items,Kurtosis of Long Tail Items,Mean Rating,Standart Deviation of Rating,Skewness of Rating,Kurtosis of Rating,Sensitive Attribute == 0 Percentage,Sensitive Attribute == 1 Percentage,Difference between Sensitive Attribute Percentage,Sensitive Feature
BX,13,Yes,4952,2793,57205,13830936,1.773,0.004,11.552,20.482,0.436,0.633,0.011,0.008,2.235,8.425,0.324,0.211,1.552,2.505,1.995,1.53,1.026,-0.712,38.65,61.35,22.7,Age
BX,14,Yes,2311,5932,56473,13708852,0.39,0.004,24.437,9.52,0.47,0.624,0.014,0.008,2.133,10.968,0.255,0.148,1.692,4.425,1.967,1.522,1.078,-0.603,39.03,60.97,21.94,Age
BX,15,Yes,5306,4070,88014,21595420,1.304,0.004,16.588,21.625,0.437,0.633,0.011,0.007,2.039,8.846,0.282,0.178,1.828,4.326,1.999,1.527,1.018,-0.723,39.24,60.76,21.52,Age
BX,16,Yes,5175,5093,108871,26356275,1.016,0.004,21.038,21.377,0.438,0.63,0.012,0.007,1.963,7.168,0.257,0.152,1.884,5.465,2.007,1.537,1.012,-0.74,39.38,60.62,21.24,Age
BX,17,Yes,2692,5939,62592,15987788,0.453,0.004,23.251,10.539,0.476,0.603,0.011,0.006,1.347,3.463,0.251,0.142,1.589,3.788,2.023,1.541,0.985,-0.791,38.86,61.14,22.28,Age
BX,18,Yes,4645,3971,75616,18445295,1.17,0.004,16.279,19.042,0.447,0.624,0.012,0.007,1.698,6.076,0.281,0.178,1.784,4.083,2.025,1.541,0.98,-0.803,39.48,60.52,21.04,Age
BX,19,Yes,2553,4245,43830,10837485,0.601,0.004,17.168,10.325,0.448,0.636,0.011,0.006,1.856,7.093,0.281,0.175,1.835,4.521,2.037,1.547,0.962,-0.839,40.46,59.54,19.08,Age
BX,20,Yes,3202,3464,45337,11091728,0.924,0.004,14.159,13.088,0.449,0.631,0.01,0.006,1.603,5.247,0.299,0.196,1.766,3.606,2.016,1.539,0.995,-0.774,39.76,60.24,20.48,Age
BX,21,Yes,884,3303,14194,2919852,0.268,0.005,16.057,4.297,0.478,0.637,0.015,0.011,4.967,45.609,0.289,0.172,1.653,3.84,2.086,1.555,0.876,-0.994,37.9,62.1,24.2,Age
BX,22,Yes,2527,4576,46511,11563552,0.552,0.004,18.406,10.164,0.472,0.621,0.012,0.007,1.34,2.941,0.268,0.158,1.882,5.24,1.994,1.533,1.034,-0.695,39.85,60.15,20.3,Age
BX,23,Yes,2026,5190,45533,10514940,0.39,0.004,22.474,8.773,0.467,0.632,0.014,0.009,2.213,9.217,0.259,0.15,1.671,3.857,2.026,1.531,0.97,-0.811,39.09,60.91,21.82,Age
BX,24,Yes,1550,3612,23864,5598600,0.429,0.004,15.396,6.607,0.474,0.62,0.012,0.008,1.842,6.148,0.283,0.181,1.83,4.219,2.011,1.541,1.004,-0.763,39.29,60.71,21.42,Age
BX,25,Yes,110,1511,2396,166210,0.073,0.014,21.782,1.586,0.285,0.665,0.024,0.009,1.084,1.515,0.251,0.145,2.368,8.806,1.889,1.449,1.191,-0.273,49.09,50.91,1.82,Age
BX,26,Yes,2108,2464,23913,5194112,0.856,0.005,11.344,9.705,0.463,0.651,0.013,0.009,1.724,4.559,0.333,0.216,1.554,2.417,2.002,1.532,1.02,-0.719,41.37,58.63,17.26,Age
BX,27,Yes,3921,2849,44999,11170929,1.376,0.004,11.476,15.795,0.441,0.632,0.014,0.015,3.409,18.194,0.319,0.205,1.662,3.001,2.023,1.545,0.988,-0.789,38.18,61.82,23.64,Age
BX,28,Yes,4269,5801,100706,24764469,0.736,0.004,23.59,17.36,0.443,0.625,0.013,0.009,2.702,14.165,0.253,0.15,1.842,5.139,2.029,1.545,0.977,-0.81,39.54,60.46,20.92,Age
BX,29,Yes,2592,5488,58303,14224896,0.472,0.004,22.493,10.624,0.462,0.627,0.013,0.008,2.096,8.812,0.256,0.148,1.592,3.768,1.962,1.518,1.086,-0.582,38.81,61.19,22.38,Age
BX,30,Yes,1411,4845,28050,6836295,0.291,0.004,19.88,5.789,0.467,0.621,0.013,0.009,3.777,35.24,0.27,0.158,1.769,4.905,1.993,1.528,1.028,-0.708,40.96,59.04,18.08,Age
BX,31,Yes,3676,5871,86843,21581796,0.626,0.004,23.624,14.792,0.439,0.63,0.011,0.006,1.557,6.285,0.255,0.151,1.689,4.31,2.022,1.539,0.985,-0.791,38.71,61.29,22.58,Age
BX,32,Yes,1682,2509,17735,4220138,0.67,0.004,10.544,7.069,0.46,0.628,0.011,0.007,1.928,6.176,0.326,0.213,1.618,2.698,1.957,1.515,1.089,-0.578,39.3,60.7,21.4,Age
BX,33,Yes,4586,3049,58802,13982714,1.504,0.004,12.822,19.286,0.464,0.625,0.014,0.01,2.608,13.91,0.301,0.192,1.697,3.404,2.012,1.539,1.005,-0.752,38.57,61.43,22.86,Age
BX,34,Yes,2003,5784,48620,11585352,0.346,0.004,24.274,8.406,0.473,0.631,0.012,0.006,1.582,4.288,0.255,0.149,1.603,3.723,1.947,1.51,1.111,-0.522,40.29,59.71,19.42,Age
BX,35,Yes,3933,5081,82140,19983573,0.774,0.004,20.885,16.166,0.446,0.629,0.011,0.006,1.53,4.539,0.262,0.158,1.755,4.429,1.997,1.531,1.027,-0.705,39.28,60.72,21.44,Age
BX,36,Yes,1932,5849,47302,11300268,0.33,0.004,24.483,8.087,0.475,0.625,0.013,0.007,2.156,9.441,0.257,0.155,1.762,4.599,1.986,1.528,1.046,-0.67,39.39,60.61,21.22,Age
BX,37,Yes,5378,3391,76133,18236798,1.586,0.004,14.156,22.451,0.451,0.63,0.014,0.012,3.188,19.738,0.302,0.195,1.684,3.312,1.985,1.522,1.04,-0.677,38.64,61.36,22.72,Age
BX,38,Yes,5755,2681,63788,15429155,2.147,0.004,11.084,23.793,0.431,0.631,0.01,0.007,2.086,8.279,0.328,0.218,1.601,2.485,1.998,1.531,1.022,-0.718,39.57,60.43,20.86,Age
BX,39,Yes,4575,4113,79812,18816975,1.112,0.004,17.445,19.405,0.448,0.635,0.012,0.007,2.147,11.467,0.274,0.164,1.751,4.331,2.007,1.538,1.013,-0.739,39.3,60.7,21.4,Age
BX,40,Yes,1762,2542,19087,4479004,0.693,0.004,10.833,7.509,0.455,0.635,0.011,0.009,3.342,21.607,0.323,0.219,1.662,2.676,2.077,1.557,0.9,-0.949,39.33,60.67,21.34,Age
BX,41,Yes,4679,2496,52494,11678784,1.875,0.004,11.219,21.031,0.459,0.631,0.017,0.018,3.459,18.473,0.337,0.225,1.54,2.118,1.988,1.526,1.042,-0.672,39.15,60.85,21.7,Age
BX,42,Yes,5114,2942,59989,15045388,1.738,0.004,11.73,20.391,0.434,0.623,0.011,0.008,2.236,8.086,0.315,0.209,1.689,2.957,2.006,1.536,1.011,-0.744,39.19,60.81,21.62,Age
BX,43,Yes,322,1558,3722,501676,0.207,0.007,11.559,2.389,0.409,0.659,0.021,0.02,3.361,16.85,0.326,0.225,1.755,2.882,1.807,1.432,1.346,0.058,38.82,61.18,22.36,Age
BX,44,Yes,403,3198,7164,1288794,0.126,0.006,17.777,2.24,0.392,0.583,0.012,0.006,1.708,5.119,0.267,0.157,1.482,3.076,2.02,1.553,1.002,-0.772,39.7,60.3,20.6,Age
BX,45,Yes,5175,2793,58632,14453775,1.853,0.004,11.33,20.992,0.434,0.626,0.013,0.013,3.98,26.399,0.323,0.208,1.557,2.57,2.01,1.536,1.006,-0.75,39.57,60.43,20.86,Age
BX,46,Yes,2624,4702,51518,12338048,0.558,0.004,19.633,10.957,0.435,0.641,0.013,0.01,4.654,44.347,0.28,0.173,1.736,4.01,2.0,1.527,1.014,-0.73,38.83,61.17,22.34,Age
BX,47,Yes,542,3880,10555,2102960,0.14,0.005,19.474,2.72,0.432,0.596,0.012,0.005,1.029,2.591,0.267,0.158,1.564,3.439,2.023,1.542,0.991,-0.772,42.07,57.93,15.86,Age
BX,48,Yes,2076,5115,41087,10618740,0.406,0.004,19.791,8.033,0.491,0.597,0.013,0.008,1.909,6.692,0.257,0.155,1.933,5.747,2.034,1.542,0.966,-0.826,39.16,60.84,21.68,Age
BX,49,Yes,5390,3053,68273,16455670,1.765,0.004,12.667,22.363,0.439,0.631,0.011,0.006,1.687,5.133,0.301,0.196,1.764,3.55,2.026,1.548,0.984,-0.801,39.65,60.35,20.7,Age
BX,50,Yes,3432,5534,76165,18992688,0.62,0.004,22.193,13.763,0.446,0.617,0.012,0.007,1.583,4.206,0.252,0.146,1.764,4.906,2.005,1.541,1.018,-0.732,38.58,61.42,22.84,Age
BX,51,Yes,350,2431,6343,850850,0.144,0.007,18.123,2.609,0.418,0.672,0.018,0.011,2.24,8.303,0.28,0.161,1.914,5.427,1.932,1.496,1.135,-0.45,38.0,62.0,24.0,Age
BX,52,Yes,1479,4918,30253,7273722,0.301,0.004,20.455,6.151,0.475,0.624,0.012,0.006,1.264,2.912,0.261,0.156,1.882,5.304,2.046,1.557,0.954,-0.861,38.47,61.53,23.06,Age
BX,53,Yes,4551,3427,65607,15596277,1.328,0.004,14.416,19.144,0.466,0.624,0.012,0.008,1.673,5.161,0.293,0.189,1.789,3.849,2.02,1.544,0.992,-0.782,39.05,60.95,21.9,Age
BX,54,Yes,5812,4847,113002,28170764,1.199,0.004,19.443,23.314,0.438,0.626,0.011,0.006,1.544,4.555,0.264,0.158,1.835,4.922,2.007,1.538,1.01,-0.747,39.14,60.86,21.72,Age
BX,55,Yes,5730,2987,73123,17115510,1.918,0.004,12.761,24.48,0.447,0.628,0.015,0.014,3.974,26.198,0.317,0.203,1.609,2.792,1.997,1.532,1.027,-0.707,39.35,60.65,21.3,Age
BX,56,Yes,1589,4295,27329,6824755,0.37,0.004,17.199,6.363,0.476,0.627,0.011,0.006,1.477,4.534,0.275,0.17,1.676,3.825,2.017,1.536,0.993,-0.771,39.58,60.42,20.84,Age
BX,57,Yes,1109,2314,11600,2566226,0.479,0.005,10.46,5.013,0.487,0.61,0.016,0.015,2.971,14.892,0.323,0.203,1.572,2.711,1.988,1.52,1.034,-0.685,39.31,60.69,21.38,Age
BX,58,Yes,3368,2889,39214,9730152,1.166,0.004,11.643,13.574,0.444,0.625,0.011,0.008,2.328,9.204,0.318,0.211,1.679,2.976,2.005,1.535,1.012,-0.738,38.95,61.05,22.1,Age
BX,59,Yes,3904,5600,91228,21862400,0.697,0.004,23.368,16.291,0.449,0.635,0.013,0.008,1.476,3.167,0.255,0.148,1.83,5.163,1.947,1.505,1.104,-0.535,39.22,60.78,21.56,Age
BX,60,Yes,1245,2708,14646,3371460,0.46,0.004,11.764,5.408,0.458,0.633,0.011,0.008,2.348,9.137,0.326,0.216,1.523,2.296,1.96,1.522,1.084,-0.6,39.04,60.96,21.92,Age
BX,61,Yes,4198,4256,75916,17866688,0.986,0.004,18.084,17.837,0.449,0.634,0.014,0.01,2.567,10.771,0.276,0.168,1.718,4.163,1.987,1.527,1.041,-0.678,39.49,60.51,21.02,Age
BX,62,Yes,4726,5824,116098,27524224,0.811,0.004,24.566,19.934,0.449,0.629,0.013,0.008,2.315,10.902,0.255,0.15,1.634,3.942,2.0,1.533,1.02,-0.724,39.48,60.52,21.04,Age
ml1m,1,Yes,273,1122,11957,306306,0.243,0.039,43.799,10.657,0.585,0.556,0.123,0.047,0.425,1.323,0.249,0.163,1.674,2.563,3.492,1.172,-0.521,-0.467,23.81,76.19,52.38,Age
ml1m,2,Yes,1622,1196,66286,1939912,1.356,0.034,40.867,55.423,0.637,0.534,0.132,0.051,0.288,0.471,0.228,0.143,2.056,6.095,3.601,1.123,-0.583,-0.323,19.79,80.21,60.42,Age
ml1m,3,Yes,961,766,23594,736126,1.255,0.032,24.552,30.802,0.646,0.538,0.125,0.053,0.415,1.014,0.247,0.157,2.119,5.937,3.548,1.133,-0.53,-0.417,23.0,77.0,54.0,Age
ml1m,4,Yes,753,1493,39148,1124229,0.504,0.035,51.989,26.221,0.634,0.515,0.13,0.044,0.323,0.282,0.218,0.127,2.441,9.134,3.565,1.131,-0.542,-0.404,22.97,77.03,54.06,Age
ml1m,5,Yes,167,1341,9504,223947,0.125,0.042,56.91,7.087,0.568,0.535,0.137,0.047,0.064,-0.244,0.223,0.149,2.977,11.419,3.607,1.104,-0.545,-0.349,26.35,73.65,47.3,Age
ml1m,6,Yes,1843,1415,95830,2607845,1.302,0.037,51.997,67.724,0.624,0.53,0.129,0.044,0.168,0.084,0.229,0.139,2.259,7.396,3.582,1.119,-0.555,-0.366,22.14,77.86,55.72,Age
ml1m,7,Yes,1368,837,37182,1145016,1.634,0.032,27.18,44.423,0.623,0.522,0.113,0.043,0.634,1.614,0.252,0.168,1.885,4.259,3.622,1.114,-0.589,-0.306,22.3,77.7,55.4,Age
ml1m,8,Yes,1635,1368,75830,2236680,1.195,0.034,46.379,55.431,0.628,0.535,0.118,0.041,0.246,0.259,0.235,0.144,1.99,5.498,3.578,1.109,-0.554,-0.326,22.02,77.98,55.96,Age
ml1m,9,Yes,413,701,8465,289513,0.589,0.029,20.496,12.076,0.603,0.517,0.113,0.054,0.933,2.102,0.252,0.157,2.095,6.172,3.635,1.113,-0.611,-0.265,21.79,78.21,56.42,Age
ml1m,10,Yes,737,971,23023,715627,0.759,0.032,31.239,23.711,0.606,0.546,0.111,0.046,0.243,0.162,0.251,0.166,1.699,3.481,3.551,1.131,-0.54,-0.388,21.57,78.43,56.86,Age
ml1m,11,Yes,630,1090,24023,686700,0.578,0.035,38.132,22.039,0.657,0.534,0.144,0.057,-0.029,0.402,0.231,0.13,2.083,6.546,3.52,1.144,-0.519,-0.451,21.9,78.1,56.2,Age
ml1m,12,Yes,1320,480,23051,633600,2.75,0.036,17.463,48.023,0.645,0.528,0.132,0.064,0.426,1.076,0.28,0.195,2.109,4.783,3.563,1.127,-0.551,-0.375,22.5,77.5,55.0,Age
ml1m,13,Yes,1715,431,25310,739165,3.979,0.034,14.758,58.724,0.647,0.531,0.112,0.046,-0.006,0.265,0.286,0.208,2.025,4.191,3.617,1.08,-0.563,-0.254,20.17,79.83,59.66,Age
ml1m,14,Yes,1483,694,36626,1029202,2.137,0.036,24.697,52.775,0.635,0.533,0.13,0.059,0.27,0.472,0.26,0.173,1.99,4.973,3.554,1.133,-0.526,-0.427,22.18,77.82,55.64,Age
ml1m,15,Yes,1042,906,32289,944052,1.15,0.034,30.988,35.639,0.637,0.519,0.137,0.059,0.315,0.307,0.25,0.144,1.848,5.386,3.596,1.131,-0.564,-0.384,22.84,77.16,54.32,Age
ml1m,16,Yes,1013,1669,63090,1690697,0.607,0.037,62.28,37.801,0.639,0.517,0.142,0.047,0.321,-0.037,0.224,0.135,2.362,8.034,3.598,1.107,-0.568,-0.319,21.42,78.58,57.16,Age
ml1m,17,Yes,1956,1105,69459,2161380,1.77,0.032,35.511,62.859,0.65,0.535,0.131,0.049,0.485,1.873,0.24,0.146,1.856,4.626,3.601,1.12,-0.574,-0.342,21.52,78.48,56.96,Age
ml1m,18,Yes,483,1040,16384,502320,0.464,0.033,33.921,15.754,0.613,0.522,0.117,0.046,0.113,-0.135,0.236,0.154,2.081,5.599,3.551,1.147,-0.556,-0.407,22.36,77.64,55.28,Age
ml1m,19,Yes,877,1217,34344,1067309,0.721,0.032,39.161,28.22,0.627,0.545,0.124,0.05,0.355,0.463,0.241,0.157,1.975,5.065,3.585,1.108,-0.543,-0.343,20.07,79.93,59.86,Age
ml1m,20,Yes,1239,318,12910,394002,3.896,0.033,10.42,40.597,0.636,0.521,0.16,0.097,0.896,1.443,0.314,0.226,1.735,2.696,3.633,1.116,-0.606,-0.287,20.9,79.1,58.2,Age
ml1m,21,Yes,1464,610,27910,893040,2.4,0.031,19.064,45.754,0.643,0.549,0.129,0.067,0.772,1.807,0.274,0.18,1.815,3.975,3.561,1.129,-0.546,-0.38,21.58,78.42,56.84,Age
ml1m,22,Yes,607,755,15632,458285,0.804,0.034,25.753,20.705,0.623,0.535,0.124,0.054,0.519,1.102,0.253,0.17,1.8,3.95,3.615,1.107,-0.587,-0.293,22.41,77.59,55.18,Age
ml1m,23,Yes,515,1444,26890,743660,0.357,0.036,52.214,18.622,0.627,0.53,0.13,0.046,0.601,1.823,0.229,0.142,2.177,6.72,3.58,1.107,-0.564,-0.304,21.36,78.64,57.28,Age
ml1m,24,Yes,685,1640,39681,1123400,0.418,0.035,57.928,24.196,0.626,0.527,0.129,0.044,0.386,0.328,0.233,0.133,1.924,5.663,3.576,1.099,-0.548,-0.302,24.82,75.18,50.36,Age
ml1m,25,Yes,1133,379,14536,429407,2.989,0.034,12.83,38.354,0.628,0.519,0.119,0.065,0.762,1.864,0.282,0.2,2.139,4.916,3.606,1.136,-0.593,-0.355,20.92,79.08,58.16,Age
ml1m,26,Yes,1368,1544,76615,2112192,0.886,0.036,56.005,49.621,0.639,0.527,0.143,0.05,0.16,-0.011,0.229,0.137,2.183,6.995,3.621,1.117,-0.593,-0.298,22.22,77.78,55.56,Age
ml1m,27,Yes,144,719,5285,103536,0.2,0.051,36.701,7.35,0.555,0.51,0.161,0.07,0.678,1.434,0.235,0.161,2.672,8.701,3.533,1.16,-0.534,-0.458,20.83,79.17,58.34,Age
ml1m,28,Yes,1980,1484,102368,2938320,1.334,0.035,51.701,68.981,0.622,0.532,0.125,0.043,0.401,0.529,0.228,0.134,2.118,6.728,3.539,1.137,-0.525,-0.431,23.54,76.46,52.92,Age
ml1m,29,Yes,785,840,21832,659400,0.935,0.033,27.811,25.99,0.628,0.529,0.121,0.054,0.452,0.876,0.243,0.145,2.152,6.753,3.601,1.085,-0.557,-0.269,20.38,79.62,59.24,Age
ml1m,30,Yes,1727,1550,99327,2676850,1.114,0.037,57.514,64.082,0.63,0.536,0.135,0.046,0.192,-0.03,0.223,0.137,2.337,7.751,3.591,1.125,-0.567,-0.353,23.1,76.9,53.8,Age
ml1m,31,Yes,1522,523,23819,796006,2.91,0.03,15.65,45.543,0.653,0.513,0.135,0.074,0.689,0.849,0.258,0.169,2.154,5.972,3.586,1.104,-0.565,-0.305,22.93,77.07,54.14,Age
ml1m,32,Yes,1821,1341,86493,2441961,1.358,0.035,47.498,64.499,0.637,0.529,0.131,0.046,0.221,0.29,0.224,0.136,2.423,8.479,3.603,1.097,-0.549,-0.315,21.69,78.31,56.62,Age
ml1m,33,Yes,581,867,16429,503727,0.67,0.033,28.277,18.949,0.611,0.498,0.114,0.048,0.102,-0.152,0.247,0.15,1.805,4.067,3.534,1.128,-0.51,-0.434,21.17,78.83,57.66,Age
ml1m,34,Yes,750,1644,43117,1233000,0.456,0.035,57.489,26.227,0.614,0.56,0.128,0.047,0.385,0.621,0.235,0.148,2.227,6.507,3.542,1.097,-0.509,-0.34,22.13,77.87,55.74,Age
ml1m,35,Yes,516,1416,24133,730656,0.364,0.033,46.769,17.043,0.623,0.505,0.13,0.047,0.611,0.584,0.232,0.144,2.025,6.499,3.626,1.091,-0.541,-0.325,21.12,78.88,57.76,Age
ml1m,36,Yes,1463,1118,57610,1635634,1.309,0.035,39.378,51.53,0.643,0.53,0.133,0.049,0.258,0.35,0.231,0.139,2.062,6.161,3.598,1.097,-0.554,-0.319,20.03,79.97,59.94,Age
ml1m,37,Yes,612,1460,29407,893520,0.419,0.033,48.051,20.142,0.627,0.52,0.121,0.044,0.28,-0.031,0.227,0.138,2.141,6.643,3.616,1.128,-0.582,-0.366,25.33,74.67,49.34,Age
ml1m,38,Yes,578,1624,37993,938672,0.356,0.04,65.732,23.395,0.619,0.526,0.142,0.046,0.206,-0.132,0.222,0.127,1.966,5.589,3.625,1.104,-0.591,-0.276,22.66,77.34,54.68,Age
ml1m,39,Yes,1448,715,37078,1035320,2.025,0.036,25.606,51.857,0.619,0.533,0.122,0.049,0.598,2.259,0.245,0.154,2.154,6.305,3.584,1.099,-0.539,-0.316,21.41,78.59,57.18,Age
ml1m,40,Yes,1355,1528,74382,2070440,0.887,0.036,54.894,48.679,0.623,0.524,0.131,0.048,0.154,0.036,0.232,0.14,2.046,6.076,3.619,1.107,-0.588,-0.286,22.51,77.49,54.98,Age
ml1m,41,Yes,385,1318,20341,507430,0.292,0.04,52.834,15.433,0.602,0.539,0.123,0.039,-0.075,0.101,0.225,0.138,2.272,7.455,3.499,1.112,-0.482,-0.416,22.6,77.4,54.8,Age
ml1m,42,Yes,1811,707,40254,1280377,2.562,0.031,22.227,56.936,0.635,0.537,0.128,0.062,0.882,2.219,0.256,0.171,1.941,4.55,3.527,1.122,-0.517,-0.396,23.3,76.7,53.4,Age
ml1m,43,Yes,517,411,6241,212487,1.258,0.029,12.072,15.185,0.599,0.52,0.108,0.056,0.669,0.636,0.305,0.215,1.74,2.948,3.606,1.149,-0.59,-0.382,22.24,77.76,55.52,Age
ml1m,44,Yes,448,1083,17781,485184,0.414,0.037,39.69,16.418,0.603,0.566,0.123,0.049,0.194,0.516,0.244,0.154,2.233,6.684,3.559,1.117,-0.505,-0.424,17.41,82.59,65.18,Age
ml1m,45,Yes,1039,1605,57588,1667595,0.647,0.035,55.426,35.88,0.617,0.535,0.121,0.043,0.415,0.379,0.227,0.141,2.214,6.425,3.55,1.102,-0.509,-0.368,19.54,80.46,60.92,Age
ml1m,46,Yes,713,579,12487,412827,1.231,0.03,17.513,21.566,0.61,0.534,0.108,0.051,0.417,0.328,0.268,0.177,2.124,5.444,3.556,1.118,-0.515,-0.408,23.28,76.72,53.44,Age
ml1m,47,Yes,1123,562,21459,631126,1.998,0.034,19.109,38.183,0.646,0.515,0.146,0.072,0.924,2.607,0.274,0.19,1.807,3.769,3.58,1.125,-0.561,-0.355,21.64,78.36,56.72,Age
ml1m,48,Yes,762,890,21865,678180,0.856,0.032,28.694,24.567,0.617,0.549,0.108,0.041,0.427,1.757,0.253,0.169,2.02,4.967,3.531,1.109,-0.508,-0.372,20.47,79.53,59.06,Age
ml1m,49,Yes,999,1501,51450,1499499,0.666,0.034,51.502,34.277,0.639,0.525,0.131,0.046,0.473,0.962,0.237,0.156,2.221,6.004,3.621,1.097,-0.572,-0.29,25.03,74.97,49.94,Age
ml1m,50,Yes,294,947,11878,278418,0.31,0.043,40.401,12.543,0.597,0.534,0.144,0.052,-0.054,-0.201,0.235,0.127,1.894,5.735,3.666,1.093,-0.587,-0.308,20.75,79.25,58.5,Age
ml1m,51,Yes,372,611,7538,227292,0.609,0.033,20.263,12.337,0.577,0.519,0.102,0.042,-0.048,-0.039,0.254,0.168,2.296,7.06,3.611,1.103,-0.564,-0.338,22.31,77.69,55.38,Age
ml1m,52,Yes,277,489,5417,135453,0.566,0.04,19.556,11.078,0.605,0.517,0.15,0.072,0.264,0.196,0.261,0.174,2.233,6.402,3.572,1.111,-0.575,-0.309,19.86,80.14,60.28,Age
ml1m,53,Yes,1654,1183,64227,1956682,1.398,0.033,38.831,54.292,0.652,0.512,0.15,0.058,0.51,0.642,0.22,0.122,2.298,9.204,3.628,1.095,-0.573,-0.285,23.58,76.42,52.84,Age
ml1m,54,Yes,1681,606,30720,1018686,2.774,0.03,18.275,50.693,0.633,0.555,0.105,0.047,0.374,1.136,0.274,0.189,1.917,4.159,3.54,1.1,-0.504,-0.377,22.49,77.51,55.02,Age
ml1m,55,Yes,1653,1346,72231,2224938,1.228,0.032,43.697,53.663,0.634,0.528,0.133,0.05,0.431,0.51,0.228,0.135,2.017,5.999,3.559,1.128,-0.533,-0.398,21.36,78.64,57.28,Age
ml1m,56,Yes,1543,1613,87044,2488859,0.957,0.035,56.412,53.964,0.621,0.528,0.129,0.047,0.372,0.396,0.225,0.132,2.288,7.583,3.586,1.121,-0.562,-0.348,20.87,79.13,58.26,Age
ml1m,57,Yes,1891,1633,105012,3088003,1.158,0.034,55.533,64.306,0.624,0.544,0.12,0.04,0.281,0.274,0.234,0.141,1.933,5.185,3.587,1.113,-0.544,-0.352,22.0,78.0,56.0,Age
ml1m,58,Yes,1241,1183,51888,1468103,1.049,0.035,41.811,43.861,0.642,0.536,0.129,0.045,0.189,0.372,0.239,0.151,2.238,6.764,3.552,1.13,-0.554,-0.368,21.43,78.57,57.14,Age
ml1m,59,Yes,1114,578,19954,643892,1.927,0.031,17.912,34.522,0.653,0.53,0.131,0.062,0.563,1.438,0.279,0.183,1.767,3.848,3.56,1.114,-0.52,-0.394,21.63,78.37,56.74,Age
